# AZ-900 results tracker. Record the NUMBER OF LEARNERS who missed each objective in each instrument.
# Leave a cell blank when that instrument does not assess that objective (see quizzes/coverage-matrix.md).
"# Use the action column for what you decided: warm-up priority, S11 re-teach, S12 gap clinic."
objective,text,taught,s1,s2,d1_checkpoint_s3,s3,s4,s5,s6,s7,d2_checkpoint_s8,s8,s9,s10,s11,final_s12,action
1.1.1,Define cloud computing,S1,,,,,,,,,,,,,,,
1.1.2,Describe the shared responsibility model,S1,,,,,,,,,,,,,,,
1.1.3,"Define cloud models, including public, private, and hybrid",S1,,,,,,,,,,,,,,,
1.1.4,Identify appropriate use cases for each cloud model,S1,,,,,,,,,,,,,,,
1.1.5,Describe the consumption-based model,S1,,,,,,,,,,,,,,,
1.1.6,Compare cloud pricing models,S2,,,,,,,,,,,,,,,
1.1.7,Describe serverless,S2,,,,,,,,,,,,,,,
1.2.1,Describe the benefits of high availability and scalability in the cloud,S2,,,,,,,,,,,,,,,
1.2.2,Describe the benefits of reliability and predictability in the cloud,S2,,,,,,,,,,,,,,,
1.2.3,Describe the benefits of security and governance in the cloud,S2,,,,,,,,,,,,,,,
1.2.4,Describe the benefits of manageability in the cloud,S2,,,,,,,,,,,,,,,
1.3.1,Describe infrastructure as a service (IaaS),S2,,,,,,,,,,,,,,,
1.3.2,Describe platform as a service (PaaS),S2,,,,,,,,,,,,,,,
1.3.3,Describe software as a service (SaaS),S2,,,,,,,,,,,,,,,
1.3.4,"Identify appropriate use cases for each cloud service type (IaaS, PaaS, and SaaS)",S2,,,,,,,,,,,,,,,
2.1.1,"Describe Azure regions, region pairs, and sovereign regions",S3,,,,,,,,,,,,,,,
2.1.2,Describe availability zones,S3,,,,,,,,,,,,,,,
2.1.3,Describe Azure datacenters,S3,,,,,,,,,,,,,,,
2.1.4,Describe Azure resources and resource groups,S3,,,,,,,,,,,,,,,
2.1.5,Describe subscriptions,S3,,,,,,,,,,,,,,,
2.1.6,Describe management groups,S3,,,,,,,,,,,,,,,
2.1.7,"Describe the hierarchy of resource groups, subscriptions, and management groups",S3,,,,,,,,,,,,,,,
2.2.1,"Compare compute types, including containers, virtual machines, and functions",S4,,,,,,,,,,,,,,,
2.2.2,"Describe virtual machine options, including Azure virtual machines, Azure Virtual Machine Scale Sets, availability sets, and Azure Virtual Desktop",S4,,,,,,,,,,,,,,,
2.2.3,Describe the resources required for virtual machines,S4,,,,,,,,,,,,,,,
2.2.4,"Describe application hosting options, including web apps, containers, and virtual machines",S4,,,,,,,,,,,,,,,
2.2.5,"Describe virtual networking, including the purpose of Azure virtual networks, subnets, peering, Azure DNS, Azure VPN Gateway, and ExpressRoute",S5,,,,,,,,,,,,,,,
2.2.6,Define public and private endpoints,S5,,,,,,,,,,,,,,,
2.3.1,Compare Azure Storage services,S6,,,,,,,,,,,,,,,
2.3.2,Describe storage tiers,S6,,,,,,,,,,,,,,,
2.3.3,Describe redundancy options,S6,,,,,,,,,,,,,,,
2.3.4,Describe storage account options and storage types,S6,,,,,,,,,,,,,,,
2.3.5,"Identify options for moving files, including AzCopy, Azure Storage Explorer, and Azure File Sync",S6,,,,,,,,,,,,,,,
2.3.6,"Describe migration options, including Azure Migrate and Azure Data Box",S6,,,,,,,,,,,,,,,
2.4.1,"Describe directory services in Azure, including Microsoft Entra ID and Microsoft Entra Domain Services",S7,,,,,,,,,,,,,,,
2.4.2,"Describe authentication methods in Azure, including single sign-on (SSO), multifactor authentication (MFA), and passwordless",S7,,,,,,,,,,,,,,,
2.4.3,Describe external identities in Azure,S7,,,,,,,,,,,,,,,
2.4.4,Describe Microsoft Entra Conditional Access,S7,,,,,,,,,,,,,,,
2.4.5,Describe Azure role-based access control (RBAC),S7,,,,,,,,,,,,,,,
2.4.6,Describe the concept of Zero Trust,S7,,,,,,,,,,,,,,,
2.4.7,Describe the purpose of the defense-in-depth model,S7,,,,,,,,,,,,,,,
2.4.8,Describe the purpose of Microsoft Defender for Cloud,S7,,,,,,,,,,,,,,,
3.1.1,Describe factors that can affect costs in Azure,S8,,,,,,,,,,,,,,,
3.1.2,Explore the pricing calculator,S8,,,,,,,,,,,,,,,
3.1.3,Describe cost management capabilities in Azure,S8,,,,,,,,,,,,,,,
3.1.4,Describe the purpose of tags,S8,,,,,,,,,,,,,,,
3.2.1,Describe the purpose of Microsoft Purview in Azure,S9,,,,,,,,,,,,,,,
3.2.2,Describe the purpose of Azure Policy,S9,,,,,,,,,,,,,,,
3.2.3,Describe the purpose of resource locks,S9,,,,,,,,,,,,,,,
3.3.1,Describe the Azure portal,S10,,,,,,,,,,,,,,,
3.3.2,"Describe Azure Cloud Shell, Azure CLI, and Azure PowerShell",S10,,,,,,,,,,,,,,,
3.3.3,Describe the purpose of Azure Arc,S10,,,,,,,,,,,,,,,
3.3.4,Describe infrastructure as code (IaC),S10,,,,,,,,,,,,,,,
3.3.5,Describe Azure Resource Manager (ARM) and ARM templates,S10,,,,,,,,,,,,,,,
3.4.1,Describe the purpose of Azure Advisor,S11,,,,,,,,,,,,,,,
3.4.2,Describe Azure Service Health,S11,,,,,,,,,,,,,,,
3.4.3,"Describe Azure Monitor, including Log Analytics, Azure Monitor alerts, and Azure Monitor Application Insights",S11,,,,,,,,,,,,,,,
