quiz,item,type,carry_forward,objectives,stem,options,answer,rationale,source
checkpoint-domain-1,1,single,no,1.1.1,Which statement best captures what makes something cloud computing rather than traditional IT?,A. The workload runs on virtualized hardware | B. Computing services are delivered over the internet and rented rather than owned | C. The hardware is newer than five years old | D. The organization has more than one datacenter,B,Cloud computing is delivery of computing services over the internet on a rental basis. Virtualization alone is not cloud computing — plenty of on-premises datacenters are virtualized.,https://learn.microsoft.com/en-us/training/modules/describe-cloud-compute/3-what-cloud-compute
checkpoint-domain-1,2,single,no,1.1.2,"Which item is always the customer's responsibility, in every cloud service type?",A. The physical hosts | B. The operating system | C. The accounts and identities in the environment | D. The physical network,C,"Accounts and identities, data, and connecting devices always stay with the customer. The operating system depends on the service type; the physical layers are always the provider's.",https://learn.microsoft.com/en-us/training/modules/describe-cloud-compute/4-describe-shared-responsibility-model
checkpoint-domain-1,3,single,no,1.1.2,Which statement correctly describes how responsibility shifts across service types?,"A. IaaS places the most responsibility on the provider, and SaaS the most on the customer | B. IaaS places the most responsibility on the customer, SaaS the most on the provider, and PaaS sits between them | C. Responsibility is identical in all three; only pricing differs | D. The customer is responsible for physical security in IaaS",B,"IaaS puts the most on the customer, SaaS the most on the provider, and PaaS distributes responsibility between the two.",https://learn.microsoft.com/en-us/training/modules/describe-cloud-compute/4-describe-shared-responsibility-model
checkpoint-domain-1,4,matching,no,1.1.3 1.1.4,"(Match each scenario to the cloud model that fits best: public, private, hybrid, or multicloud.)","i. A single organization runs a dedicated cloud environment in its own datacenter | ii. A company keeps regulated data on dedicated infrastructure and runs its public website with a cloud provider, connecting the two | iii. A startup with no hardware buys all of its infrastructure from a cloud provider | iv. An enterprise runs production workloads with two different public cloud providers and manages security in both","i–private, ii–hybrid, iii–public, iv–multicloud","Single-organization environment is private; interconnected private plus public is hybrid; buying everything from a provider is public; two or more public providers is multicloud. Score one point per pair, then round.",https://learn.microsoft.com/en-us/training/modules/describe-cloud-compute/5-define-cloud-models
checkpoint-domain-1,5,single,no,1.1.5,Which outcome is the clearest consequence of the consumption-based model?,"A. You purchase capacity in advance to guarantee availability | B. You pay only for resources you use, and you can release them when demand drops | C. Infrastructure costs become capital expenditure | D. Costs are fixed and independent of usage",B,"Paying only for what you use and releasing resources on demand is the defining consequence; cloud consumption is classified as operational, not capital, expenditure.",https://learn.microsoft.com/en-us/training/modules/describe-cloud-compute/6-describe-consumption-based-model
checkpoint-domain-1,6,single,no,1.1.6,A team can commit to a three-year term on a specific virtual machine size for a steady workload. Which pricing option is intended for that situation?,A. Pay-as-you-go | B. A reservation | C. Azure Spot Virtual Machines | D. The Azure free account,B,Reservations commit to specific resources for one or three years to reduce cost. Spot is for interruptible workloads; pay-as-you-go carries no commitment and no discount.,https://learn.microsoft.com/en-us/training/modules/describe-cost-management-azure/2-describe-factors-affect-costs-azure
checkpoint-domain-1,7,single,no,1.1.7,Which description matches serverless computing?,"A. Code runs on a VM you size and patch yourself | B. Code is triggered by an event, resources are allocated around the run and released afterward, and you pay for the time it executes | C. A dedicated physical host is reserved for your workload | D. A managed desktop is delivered to remote users",B,"Serverless is event-driven: the event wakes the code, Azure allocates and then deallocates resources, and charging is based on the time the code runs.",https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/6-functions
checkpoint-domain-1,8,single,no,1.2.1,An application must keep serving users during a datacenter-level failure and must handle a fivefold traffic increase during a sale. Which two cloud benefits are being described?,A. Governance and compliance | B. High availability and scalability | C. Manageability and predictability | D. Security and reliability,B,Continuing to serve during a failure is high availability; absorbing a traffic increase is scalability.,https://learn.microsoft.com/en-us/training/modules/describe-benefits-use-cloud-services/2-high-availability-scalability-cloud
checkpoint-domain-1,9,single,no,1.2.2,Which statement describes reliability as distinct from predictability?,A. Reliability is forecasting cost; predictability is recovering from failure | B. Reliability is recovering from failure and continuing to function; predictability is being able to anticipate performance and cost | C. They are two names for the same property | D. Reliability applies only to storage; predictability only to compute,B,"Reliability is recovery and continued function; predictability covers anticipating performance (autoscaling, load balancing, high availability) and cost (usage tracking, forecasting, the pricing calculator).",https://learn.microsoft.com/en-us/training/modules/describe-benefits-use-cloud-services/3-reliability-predictability-cloud
checkpoint-domain-1,10,single,no,1.2.3,Which pair of capabilities are governance and security benefits of the cloud?,"A. Deploying from templates to meet technical standards, and cloud-based auditing that flags noncompliant resources | B. Buying hardware in bulk, and negotiating vendor discounts | C. Writing application code, and running unit tests | D. Assigning licenses, and paying invoices",A,Templates that enforce standards and cloud-based auditing that flags out-of-compliance resources are the named governance benefits; automatic patching in PaaS and SaaS and provider-scale DDoS resilience are the security side.,https://learn.microsoft.com/en-us/training/modules/describe-benefits-use-cloud-services/4-security-governance-cloud
